order_id,customer_id,days_early_or_late,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date
1b3190b2dfa9d789e1f14c05b647a14a,d306426abe5fca15e54b645e4462dc7b,188,2018-02-23 14:57:35,2018-03-15,2018-09-19 23:24:07
ca07593549f1816d26a572e06dc1eab6,75683a92331068e2d281b11a7866ba44,181,2017-02-21 23:31:27,2017-03-22,2017-09-19 14:36:39
47b40429ed8cce3aee9199792275433f,cb2caaaead400c97350c37a3fc536867,175,2018-01-03 09:44:01,2018-01-19,2018-07-13 20:51:31
2fe324febf907e3ea3f2aa9650869fa5,65b14237885b3972ebec28c0f7dd2220,167,2017-03-13 20:17:10,2017-04-05,2017-09-19 17:00:07
285ab9426d6982034523a855f55a885e,9cf2c3fa2632cee748e1a59ca9d09b21,166,2017-03-08 22:47:40,2017-04-06,2017-09-19 14:00:04
